Parameter,Publication,Method,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn,Degrees of freedom,Years,Notes,Paper notes
Mean percent change per year in cumulative ore treated,This study,"Calculation from S&P Capital IQ, 2019",5.65,,3.2,10.8,4.9,8.5,5.2,,1.3,,1991-2019,"For all mines already open in 1991 that had a start year given, assumed those mines operated with 1991 ore treated from start year to 1991. Steel was given the average of the other commodities.",
Mine capital cost ratio with total cash cost,Bhuwalka (2022),"Calculation from S&P Capital IQ, 2016",,,2,,,3,,,,,,,
Mine cost change per year,Bartos (2007),Annual percent change from US Department of Labor,-2.3,-2.3,-2.3,,-2.3,-2.3,,-2.3,-2.3,,1987-1999,"Labor productivity only, for ""primary metals"" - energy per unit metal recovered rises with ore grade decline",
Mine cost change per year,"Topp (2008), a","Calculated from Mining Operations, Australia",1.9,10.4,-7.5,-2.6,2.2,10.4,2.2,,2.2,,1974-1979,"Multifactor productivity, Australia only, Table 2.7. The ""Other"" group includes bauxite, nickel, manganese, and uranium. The ""Other"" values have been assigned to aluminum and nickel here.",
Mine cost change per year,"Topp (2008), b","Calculated from Mining Operations, Australia",-5.9,-3.8,-5,-1.1,-3.7,-3.8,-3.7,,-3.7,,1980-2000,"Multifactor productivity, Australia only, Table 2.7",
Mine cost change per year,"Topp (2008), c","Calculated from Mining Operations, Australia",5.5,2,2.7,5,6.1,2,6.1,,6.1,,2001-2007,"Multifactor productivity, Australia only, Table 2.7",
Mine cost change per year,Humphreys (),"Unknown, ask Karan what this source was",-2.4,,-3,,,,,,,,1860-2011,Labor productivity only,
Mine cost change per year,McKinsey (2015),MineLens Productivity Index,1.6,,1.5,3.5,3.5,3.5,,,3.5,,2009-2013,"Includes ore grade adjustment; gold, lead, nickel, and zinc use the average value of 3.5% decline in productivity (2004-2013), others use values from Exhibit 3, PGMs given as 4.5% productivity decline/year",
Mine cost change per year,Young (1991),OLS and panel regression,,,,,,,,,,,1961-1978,Aggregate total factor productivity (TFP) for 14 firms,
Mine cost change per year,This study,Random effects panel regression,,0.56,2.12,3.54,1.43,-0.66,3.01,0.56,-0.79,3749,1991-2019,"Used base metals results for tin and aluminum. Hausman test deemed random effects unsuitable for Zinc and base metals, used fixed effects model in those cases. Platinum value is 3.09. Degrees of freedom vary across commodity: Cu=3749, Au=3828, Pb=174, Ni=940, Sn=357, Pt=357, Ag=711, Zn=1948, Base metals=6916. Regression also included oil price to account for energy costs.",
Mine cost elasticity to ore grade,Calvo et al. (2016),Ordinary least squares,,,-0.366,-0.275,,,,,-0.786,,2002-2014,Energy consumption elasticity to change in ore grade,
Mine cost elasticity to ore grade,Young (1991),OLS and panel regression,,,,,,,,,,,1961-1978,Aggregate total factor productivity (TFP) for 14 firms,
Mine cost elasticity to ore grade,This study,Random effects panel regression,,-0.458,-0.3163,-0.367,-0.6855,-0.5084,-0.1969,-0.458,-0.3486,3749,1991-2019,"Used base metals results for tin and aluminum. Hausman test deemed random effects unsuitable for Zinc and base metals, used fixed effects model in those cases. Platinum value is -0.3486. Degrees of freedom vary across commodity: Cu=3749, Au=3828, Pb=174, Ni=940, Sn=357, Pt=357, Ag=711, Zn=1948, Base metals=6916. Regression also included oil price to account for energy costs.",
Mine CU elasticity to TCM,"Fisher (1972), a","Two stage least squares, short run",,,0.6372,,,,,,,12,"1949-58, 1962-66",USA,
Mine CU elasticity to TCM,"Fisher (1972), b","Two stage least squares, short run",,,0.112,,,,,,,18,1948-1968,Chile,
Mine CU elasticity to TCM,"Fisher (1972), c","Two stage least squares, short run",,,0.188,,,,,,,18,1948-1968,"Long run elasticity for Canada was unreliable, Canada",
Mine CU elasticity to TCM,"Fisher (1972), d","Two stage least squares, short run",,,0.0684,,,,,,,18,1948-1968,Zambia,
Mine CU elasticity to TCM,"Fisher (1972), e","Two stage least squares, short run",,,0.1963,,,,,,,18,1948-1968,"Long run elasticity for Rest of World was unreliable, rest of world",
Mine CU elasticity to TCM,"Fisher (1972), f","Two stage least squares, long run",,,1.67,,,,,,,12,"1949-58, 1962-66",USA,
Mine CU elasticity to TCM,"Fisher (1972), g","Two stage least squares, long run",,,0.402,,,,,,,18,1948-1968,Chile,
Mine CU elasticity to TCM,"Fisher (1972), i","Two stage least squares, long run",,,1.68,,,,,,,18,1948-1968,Rest of world,
Collection elasticity to scrap price,Sigman (1995),"Unknown, short run",,,,,0.217,,,,,,1954-1992," Recovery Rate Auto Batteries, Region: United States; Comments from Dahl: nan",
Collection elasticity to scrap price,"Sigman (1995), a","Unknown, static",,,,,0.192,,,,,,1954-1992," Recovery Rate Auto Batteries, Region: United States; Comments from Dahl: nan",
Collection elasticity to scrap price,"Sigman (1995), b","Unknown, static",,,,,0.187,,,,,,1954-1992," Recovery Rate Auto Batteries, Region: United States; Comments from Dahl: nan",
Demand elasticity to GDP,Blomberg (2000),"Unknown, static",,0.52,,,,,,,,,1983-1997," Secondary, Region: Germany, France, Italy, UK; Comments from Dahl: nan",
Demand elasticity to GDP,"Bozdogan (1979), a","Unknown, static",,,1.3,,,,,,,,1950-1973," , Region: U.S; Comments from Dahl: nan",
Demand elasticity to GDP,"Bozdogan (1979), b","Unknown, static",,,1.78,,,,,,,,1950-1973," , Region: U.S; Comments from Dahl: nan",
Demand elasticity to GDP,Damuth (2011),"Unknown, static",1.597,,,,,,,,,,1985-2009," Scrap Old, Region: U.S.; Comments from Dahl: nan",
Demand elasticity to GDP,Damuth (2011),"Unknown, static",0.907,,,,,,,,,,1985-2009," Scrap Total, Region: U.S.; Comments from Dahl: nan",
Demand elasticity to GDP,Fernandez (2018),"Unknown, static",1.156,1.291,,,,,,,,,1990-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), a","Unknown, static",1.026,1.06,0.737,,0.184,1.265,,0.593,0.936,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), a","Unknown, static",,,,,,,,1.04,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), a","Unknown, static",,,1.241,,2.746,1.272,,1.319,0.885,,1990-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), b","Unknown, static",1.036,1.031,0.686,,0.472,1.239,,0.727,0.912,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), b","Unknown, static",,,,,,,,1.002,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), b","Unknown, static",,,1.101,,1.173,0.945,,0.899,0.839,,1990-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), c","Unknown, static",1.026,1.065,0.71,,0.438,1.253,,0.534,0.886,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), c","Unknown, static",,,,,,,,1.117,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), d","Unknown, static",1.03,1.04,0.684,,0.445,1.231,,0.069,0.897,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), d","Unknown, static",,,,,,,,1.097,,,1980-2015," Δ, Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), e","Unknown, static",1.09,0.825,0.649,,0.456,1.17,,1.331,0.515,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), f","Unknown, static",1.034,0.768,0.691,,0.748,0.656,,0.753,0.684,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), g","Unknown, static",1.134,0.597,0.581,,0.293,0.598,,1.553,0.373,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), h","Unknown, static",1.07,0.391,1.1,,0.6,1.008,,-0.511,0.338,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), i","Unknown, static",1.053,0.725,0.902,,0.691,0.505,,,0.198,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), j","Unknown, static",1.098,0.648,0.428,,0.855,0.355,,,0.095,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), k","Unknown, static",1.168,0.101,0.249,,0.348,0.381,,,0.786,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), l","Unknown, static",1.262,-0.043,-0.306,,0.16,-0.946,,,0.412,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,"Fernandez (2018), m","Unknown, static",1.201,1.134,,,,,,,,,1980-2015," , Region: World; Comments from Dahl: nan",
Demand elasticity to GDP,Fisher (1972),"Unknown, static",,,0.6014,,,,,,,,1951-1968," , Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,Fisher (1972),"Unknown, static",,,0.4087,,,,,,,,1952-1966," , Region: Rest of World; Comments from Dahl: nan",
Demand elasticity to GDP,Fisher (1972),"Unknown, static",,,0.9921,,,,,,,,1954-1968," , Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,"Fisher (1972), a","Unknown, static",,,0.3318,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Demand elasticity to GDP,"Fisher (1972), b","Unknown, static",,,1.258248009,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Demand elasticity to GDP,"Fisher (1972), c","Unknown, static",,,0.1529,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Demand elasticity to GDP,"Fisher (1981), a","Unknown, static",,2.2573,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: new scrap not fn of price, also some price equations",
Demand elasticity to GDP,"Fisher (1981), b","Unknown, static",,1.2827,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: new scrap not fn of price, also some price equations",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,1.35498,,1956-1974," DieCast, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.906024,,1956-1974," DieCast, Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.795387,,1956-1974," DieCast, Region: U.K; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,1.0459,,1956-1974," DieCast, Region: U.S; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.938282,,1956-1974," Galvan, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.699227,,1956-1974," Galvan, Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.61319,,1956-1974," Galvan, Region: U.S; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.839424,,1956-1974," MakeBrass, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.641676,,1956-1974," MakeBrass, Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.71435,,1956-1974," MakeBrass, Region: U.S; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,1.52652,,1956-1974," Misc, Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.595859,,1956-1974," Misc, Region: U.K; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,2.97622,,1956-1974," Misc, Region: U.S; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.764031,,1956-1974," Oxide, Region: Germany, W; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.477974,,1956-1974," Oxide, Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.406491,,1956-1974," Oxide, Region: U.K; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.786922,,1956-1974," Oxide, Region: U.S; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.52327,,1956-1974," Rolled, Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.358693,,1956-1974," Rolled, Region: U.K; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.998936,,1960-1974," DieCast, Region: France; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.610529,,1960-1974," MakeBrass, Region: France; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.560293,,1960-1974," Misc, Region: France; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1979),"Unknown, static",,,,,,,,,0.137278,,1960-1974," Rolled, Region: France; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1982),"Unknown, static",,,,,,,,,0.665552,,1956-1974," , Region: Japan; Comments from Dahl: Other Eq-scrap,stock, price",
Demand elasticity to GDP,Gupta (1982),"Unknown, static",,,,,,,,,1.20933,,1956-1974," , Region: Rest of the Developed World ; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1982),"Unknown, static",,,,,,,,,1.30784,,1956-1974," , Region: Rest of the World ; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1982),"Unknown, static",,,,,,,,,0.419832,,1956-1974," , Region: U.K.; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1982),"Unknown, static",,,,,,,,,0.830575,,1956-1974," , Region: United States; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1982),"Unknown, static",,,,,,,,,0.812471,,1956-1974," , Region: West Germany; Comments from Dahl: nan",
Demand elasticity to GDP,Gupta (1982),"Unknown, static",,,,,,,,,0.544836,,1960-1974," , Region: France; Comments from Dahl: nan",
Demand elasticity to GDP,Hashimoto (1981),"Unknown, static",0.69,,,,,,,,,,1954-1976," , Region: European Community; Comments from Dahl: Elast average of 1070 and 1985",
Demand elasticity to GDP,Hashimoto (1981),"Unknown, static",0.65,,,,,,,,,,1954-1976," , Region: Japan; Comments from Dahl: Elast average of 1070 and 1985",
Demand elasticity to GDP,Hashimoto (1981),"Unknown, static",0.835,,,,,,,,,,1954-1976," , Region: U.S.; Comments from Dahl: Elast average of 1070 and 1985",
Demand elasticity to GDP,"Hojman (1981), a","Unknown, static",,1.72,,,,,,,,,1965-1977," , Region: France; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), a","Unknown, static",,2.76,,,,,,,,,1965-1977," , Region: Italy; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), a","Unknown, static",,1.33,,,,,,,,,1965-1977," , Region: Japan ; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), a","Unknown, static",,1.36,,,,,,,,,1965-1977," , Region: Oecd total; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), a","Unknown, static",,2.21,,,,,,,,,1965-1977," , Region: RestOECD; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), a","Unknown, static",,1.08,,,,,,,,,1965-1977," , Region: Spain; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), a","Unknown, static",,1.56,,,,,,,,,1965-1977," , Region: Sweden; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), a","Unknown, static",,1.21,,,,,,,,,1965-1977," , Region: United Kingdom; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), b","Unknown, static",,0.96,,,,,,,,,1965-1977," , Region: France; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), b","Unknown, static",,1.96,,,,,,,,,1965-1977," , Region: Italy; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), b","Unknown, static",,1.29,,,,,,,,,1965-1977," , Region: Japan ; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), b","Unknown, static",,1.46,,,,,,,,,1965-1977," , Region: Oecd total; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), b","Unknown, static",,1.7,,,,,,,,,1965-1977," , Region: RestOECD; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), b","Unknown, static",,1.06,,,,,,,,,1965-1977," , Region: Spain; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), b","Unknown, static",,1.17,,,,,,,,,1965-1977," , Region: Sweden; Comments from Dahl: nan",
Demand elasticity to GDP,"Hojman (1981), b","Unknown, static",,1.91,,,,,,,,,1965-1977," , Region: United Kingdom; Comments from Dahl: nan",
Demand elasticity to GDP,"McNicol (1975), in McNicol (1975) and Bozdogan (1979), a","Unknown, static",,,0.44,,,,,,,,1949-1966," , Region: US; Comments from Dahl: Elast@Mean",
Demand elasticity to GDP,"McNicol (1975), in McNicol (1975) and Bozdogan (1979), b","Unknown, static",,,1.06,,,,,,,,1949-1966," , Region: US; Comments from Dahl: Elast@Mean",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,,,2.961,,,,2.133,,1963-1992," , Region: Argentina; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,0.32,,,,,-1.337,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,1.045,,,0.339,,,,0.724,,1963-1992," , Region: Austria; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,1.208,,1.833,,,,2.041,,1963-1992," , Region: Canada; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,0.403,,,,,0.792,0.573,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,0.576,,0.243,1.103,,1.085,,,1963-1992," , Region: France; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,,,0.329,,,,0.653,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,,,2.372,,,,,,1963-1992," , Region: Greece; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,0.57,,,,,,1.624,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,,,0.659,,,-0.471,0.485,,1963-1992," , Region: India; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,2.194,,,2.213,2.186,,1.326,,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,0.47,,,,,,1.819,1.632,,1963-1992," , Region: Japan and Australia; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,0.462,,,,0.602,,1.591,1.913,,1963-1992," , Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,0.992,,,,,,2.158,1.419,,1963-1992," , Region: Korea; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,1.86,,,0.233,1.671,,,,,1963-1992," , Region: Mexico; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,,,,,,,0.179,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,1.151,1.412,,,,,,0.573,,1963-1992," , Region: Netherlands; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,,,1.949,,,-0.806,,,1963-1992," , Region: Pakistan; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,2.227,,,,,,2.273,,,1963-1992," , Region: S. Africa; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,1.134,,,,,,,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,2.007,,,,,,,,1963-1992," , Region: Spain; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,,,,,,,2.165,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,0.958,0.422,,0.733,0.986,,-0.308,,,1963-1992," , Region: U.S. and Canada; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,,,1.633,2.203,,1.913,,,1963-1992," , Region: US and Canada; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,1.419,,,2.919,,1.164,2.509,,1963-1992," , Region: United Kingdom; Comments from Dahl: nan",
Demand elasticity to GDP,Pei (1999),"Unknown, static",,,,,,1.82,,,,,1963-1992," , Region: United States; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,1.398,,,,,,,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,1.351,,,1.213,2.675,,0.742,1.116,,1963-1992," , Region: Brazil; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,0.577,,,,,,,,,1963-1992," , Region: Canada; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,1.74,,,0.435,0.986,,,,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,1.333,,,,,,,0.467,,1963-1992," , Region: France; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,1.194,0.493,,,1.85,,0.3,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,2.62,1.206,,,,,,0.792,,1963-1992," , Region: Greece; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,,0.757,,,0.487,,,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,,0.588,,,,,,,,1963-1992," , Region: India; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,1.763,,,,,,,,,1963-1992," , Region: Indonesia; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,,0.656,,,,,,1.302,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,,0.667,,,,,,,,1963-1992," , Region: Japan and Australia; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,,1.07,,,,,,,,1963-1992," , Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,,,,0.244,,,,,,1963-1992," , Region: Low Income; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,,1.156,,,,,,1.329,,1963-1992," , Region: Mexico; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,,,,,0.834,,0.612,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,,,,1.301,,,,1.121,,1963-1992," , Region: S. Africa; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,,,,,1.142,,-0.812,0.485,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,0.59,,,0.552,,,0.683,0.462,,1963-1992," , Region: Spain; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,2.316,,,,,,,,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,0.563,,,,,,,,,1963-1992," , Region: United Kingdom; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), a","Unknown, static",,,0.278,,,,,-0.336,,,1963-1992," , Region: United States; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,1.578,,,,,,,,,1963-1992," , Region: Australia; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,1.454,,,1.627,2.661,,1.343,1.338,,1963-1992," , Region: Brazil; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,2.014,,,,,,,,,1963-1992," , Region: Canada; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,2.135,,,0.955,1.527,,,,,1963-1992," , Region: Europe; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,1.684,,,,,,,1.765,,1963-1992," , Region: France; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,2.674,1.637,,,1.82,,1.279,,,1963-1992," , Region: Germany, FR; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,2.772,1.23,,,,,,1.151,,1963-1992," , Region: Greece; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,,2.08,,,2.738,,,,,1963-1992," , Region: High Income; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,,1.946,,,,,,,,1963-1992," , Region: India; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,1.242,,,,,,,,,1963-1992," , Region: Indonesia; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,,0.671,,,,,,2.455,,1963-1992," , Region: Italy; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,,1.966,,,,,,,,1963-1992," , Region: Japan and Australia; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,,2.698,,,,,,,,1963-1992," , Region: Japan; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,,,,0.27,,,,,,1963-1992," , Region: Low Income; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,,0.985,,,,,,0.705,,1963-1992," , Region: Mexico; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,,,,,0.906,,0.62,,,1963-1992," , Region: Middle Income; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,,,,0.969,,,,1.079,,1963-1992," , Region: S. Africa; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,,,,,2.355,,2.793,1.501,,1963-1992," , Region: Scandinavia; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,2.586,,,0.784,,,1.515,2.46,,1963-1992," , Region: Spain; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,2.381,,,,,,,,,1963-1992," , Region: Switzerland; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,1.781,,,,,,,,,1963-1992," , Region: United Kingdom; Comments from Dahl: nan",
Demand elasticity to GDP,"Pei (1999), b","Unknown, static",,,2.616,,,,,2.241,,,1963-1992," , Region: United States; Comments from Dahl: nan",
Demand elasticity to GDP,"Tcha (2002), a","Unknown, static",1.097,0.16,0.124,,0.383,0.174,,0.589,0.252,,1973-1993," , Region: Africa; Comments from Dahl: nan",
