Parameter,General source,Source,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn
Intensity elasticity to price,Literature,"Banks (1974), c - demand",,,-0.152,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), d - demand",,,-0.294,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), e - demand",,,-0.29,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), f - demand",,,-0.228,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), g - demand",,,-0.21,,,,,,
Intensity elasticity to price,Literature,Charles River Associates (1970) - demand,,,-0.21,,,,,,
Intensity elasticity to price,Literature,Charles River Associates (1971) - demand,,-0.2,,,,,,,
Intensity elasticity to price,Literature,"Hashimoto (1981), a - demand",-0.93,,,,,,,,
Intensity elasticity to price,Literature,"Hashimoto (1981), b - demand",-1.0,,,,,,,,
Intensity elasticity to price,Literature,"Hashimoto (1981), c - demand",-0.325,,,,,,,,
Intensity elasticity to price,Literature,Fu (2019),,,-0.1,,,,,,
Intensity elasticity to price,Literature,Fu (2019),,,-0.05,,,,,,
Intensity elasticity to price,Literature,Fu (2019),,,-0.08,,,,,,
Intensity elasticity to price,Literature,Fu (2019),,,0,,,,,,
Intensity elasticity to price,Literature,Fu (2019),,,-0.12,,,,,,
Intensity elasticity to price,Literature,Fu (2019),,,-0.17,,,,,,
Intensity elasticity to price,Literature,Fu (2019),,,-0.02,,,,,,
Intensity elasticity to price,Literature,Fu (2019),,,0.02,,,,,,
Intensity elasticity to price,Literature,Fu (2019),,,-0.16,,,,,,
Intensity elasticity to price,Literature,Fu (2019),,,-0.07,,,,,,
Intensity elasticity to price,Literature,Zink et al. (2018) - demand,,-0.202,,,,,,,
Intensity elasticity to price,Literature,Suslow (1986) - demand,,-1.93,,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), a - demand",,,-0.252,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), a - demand",,,-0.253,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), b - demand",,,-0.221,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), c - demand",,,-0.368,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), d - demand",,,-0.421,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), e - demand",,,-0.328,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), f - demand",,,-0.294,,,,,,
Intensity elasticity to price,Literature,"Banks (1974), g - demand",,,-0.39,,,,,,
Intensity elasticity to price,Literature,Banks (1972) - demand,,,,,,,,-1.262,
Intensity elasticity to price,Literature,Banks (1972) - demand,,,,,,,,-0.55,
Intensity elasticity to price,Literature,Bozdogan (1979) - demand,,,-0.64,,,,,,
Intensity elasticity to price,Literature,Bozdogan (1979) - demand,,,-0.47,,,,,,
Intensity elasticity to price,Literature,Chhabra (1978) - demand,,,,,,,,0.41,
Intensity elasticity to price,Literature,Chhabra (1978) - demand,,,,,,,,0.3,
Intensity elasticity to price,Literature,"Chhabra (1978), a - demand",,,,,,,,1.6,
Intensity elasticity to price,Literature,"Chhabra (1978), a - demand",,,,,,,,0.37,
Intensity elasticity to price,Literature,"Chhabra (1978), a - demand",,,,,,,,0.24,
Intensity elasticity to price,Literature,"Chhabra (1978), b - demand",,,,,,,,0.15,
Intensity elasticity to price,Literature,"Chhabra (1978), b - demand",,,,,,,,0.11,
Intensity elasticity to price,Literature,"Chhabra (1978), b - demand",,,,,,,,0.13,
Intensity elasticity to price,Literature,"Chhabra (1978), c - demand",,,,,,,,0.11,
Intensity elasticity to price,Literature,"Chhabra (1978), d - demand",,,,,,,,0.18,
Intensity elasticity to price,Literature,"Chhabra (1978), e - demand",,,,,,,,0.49,
Intensity elasticity to price,Literature,Fernandez (2018) - demand,0.789,0.367,0.678,,0.876,0.036,,,0.827
Intensity elasticity to price,Literature,Fernandez (2018) - demand,,,,,,,,0.754,
Intensity elasticity to price,Literature,Fernandez (2018) - demand,-0.086,-0.333,,,,,,,
Intensity elasticity to price,Literature,"Fernandez (2018), a - demand",-0.017,0.01,-0.014,,-0.008,-0.061,,,-0.014
Intensity elasticity to price,Literature,"Fernandez (2018), a - demand",,,,,,,,-0.067,
Intensity elasticity to price,Literature,"Fernandez (2018), a - demand",,,-0.28,,-0.888,-0.448,,-0.486,-0.355
Intensity elasticity to price,Literature,"Fernandez (2018), b - demand",0.005,0.029,0.088,,-0.002,-0.043,,,-0.003
Intensity elasticity to price,Literature,"Fernandez (2018), b - demand",,,,,,,,-0.03,
Intensity elasticity to price,Literature,"Fernandez (2018), b - demand",,,-0.202,,-0.099,-0.142,,-0.255,-0.143
Intensity elasticity to price,Literature,"Fernandez (2018), c - demand",-0.238,-0.593,,,,,,,
Intensity elasticity to price,Literature,Fisher (1972) - demand,,,-0.924808836023789,,,,,,
Intensity elasticity to price,Literature,Fisher (1972) - demand,,,-0.2177,,,,,,
Intensity elasticity to price,Literature,"Fisher (1972), a - demand",,,-0.808115282518012,,,,,,
Intensity elasticity to price,Literature,"Fisher (1972), a - demand",,,-0.2131,,,,,,
Intensity elasticity to price,Literature,"Fisher (1972), b - demand",,,-0.826315789473684,,,,,,
Intensity elasticity to price,Literature,"Fisher (1972), b - demand",,,-0.1727,,,,,,
Intensity elasticity to price,Literature,Fisher (1981) - demand,,-0.3049,,,,,,,
Intensity elasticity to price,Literature,Fisher (1981) - demand,,-0.2457,,,,,,,
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.428395
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,0.0803
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.140465
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-2.062
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.7
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.221
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-1.62991
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-1.2662
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.5959
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.78317
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.06807
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.03445
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.028093
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.2857
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.139999999999999
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.1104
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-1.241
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.2172
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.2265
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.09777
Intensity elasticity to price,Literature,Gupta (1979) - demand,,,,,,,,,-0.1038
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,0.444675988431931
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,0.316446917845097
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,0.283802470918597
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,0.616656427428556
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,-0.00515
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,-0.443118
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,-0.0772
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,-0.980674
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,0.227257
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,0.146932
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,0.180808
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,0.365364
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,-0.000515
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,-0.0443118
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,-0.01543714
Intensity elasticity to price,Literature,Gupta (1982) - demand,,,,,,,,,-0.1442
Intensity elasticity to price,Literature,Hashimoto (1981) - demand,-1.0,,,,,,,,
Intensity elasticity to price,Literature,Hashimoto (1981) - demand,-0.929999999999999,,,,,,,,
Intensity elasticity to price,Literature,Hojman (1981) - demand,,-0.59,,,,,,,
Intensity elasticity to price,Literature,Hojman (1981) - demand,,-0.45,,,,,,,
Intensity elasticity to price,Literature,Hojman (1981) - demand,,-1.02,,,,,,,
Intensity elasticity to price,Literature,Hojman (1981) - demand,,-0.39,,,,,,,
Intensity elasticity to price,Literature,Hojman (1981) - demand,,-0.61,,,,,,,
Intensity elasticity to price,Literature,Hojman (1981) - demand,,-0.42,,,,,,,
Intensity elasticity to price,Literature,Hojman (1981) - demand,,-1.33,,,,,,,
Intensity elasticity to price,Literature,Hojman (1981) - demand,,-0.4,,,,,,,
Intensity elasticity to price,Literature,MacKinnon (19980) - demand,,,-0.21,,,,,,
Intensity elasticity to price,Literature,"MacKinnon (19980), a - demand",,,-0.360112570356472,,,,,,
Intensity elasticity to price,Literature,"MacKinnon (19980), b - demand",,,-0.305189493433395,,,,,,
Intensity elasticity to price,Literature,"MacKinnon (19980), c - demand",,,-0.42,,,,,,
Intensity elasticity to price,Literature,"McNicol (1975), in McNicol (1975) and Bozdogan (1979) - demand",,,-0.77,,,,,,
Intensity elasticity to price,Literature,"McNicol (1975), in McNicol (1975) and Bozdogan (1979) - demand",,,-0.326,,,,,,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,,,,-0.506,,,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,,,,,,,0.207
Intensity elasticity to price,Literature,Pei (1999) - demand,,-0.367,,,,,,,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,0.117,,,,,-0.1,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,0.089,,-0.003,,,,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,,,,,,-0.07,
Intensity elasticity to price,Literature,Pei (1999) - demand,,0.216,,,,,,,-0.136
Intensity elasticity to price,Literature,Pei (1999) - demand,,-0.169,,,,,,-0.185,0.218
Intensity elasticity to price,Literature,Pei (1999) - demand,,0.372,,,,,,,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,-0.205,,,0.339,,,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,,,0.438,,,,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,,,,,,-0.253,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,,,,,,-0.406,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,0.148,,,,,0.355,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,,,,,,,-0.318
Intensity elasticity to price,Literature,Pei (1999) - demand,,,,,,,,-0.061,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,,,,,,-0.084,
Intensity elasticity to price,Literature,Pei (1999) - demand,,,1.257,,,,,,
Intensity elasticity to price,Literature,"Pei (1999), a - demand",,0.231,,,0.147,,,,
Intensity elasticity to price,Literature,"Pei (1999), a - demand",,0.784,,,,,,,
Intensity elasticity to price,Literature,"Pei (1999), a - demand",,,,,,,,,0.189
Intensity elasticity to price,Literature,"Pei (1999), a - demand",,,0.163,,,,,-0.082,0.166
Intensity elasticity to price,Literature,"Pei (1999), a - demand",,,,,,,,-0.095,
Intensity elasticity to price,Literature,"Pei (1999), a - demand",,,0.157,,,,,,
Intensity elasticity to price,Literature,"Pei (1999), a - demand",,,0.08,,,,,,
Intensity elasticity to price,Literature,"Pei (1999), a - demand",,,,,,,,-0.132,
Intensity elasticity to price,Literature,"Pei (1999), a - demand",,,0.136,,,,,,0.13
Intensity elasticity to price,Literature,"Pei (1999), a - demand",,0.157,,,,,,-0.359,
Intensity elasticity to price,Literature,"Pei (1999), a - demand",,,,,-0.385,,,,
Intensity elasticity to price,Literature,"Pei (1999), b - demand",,0.229,,,0.137,,,,
Intensity elasticity to price,Literature,"Pei (1999), b - demand",,1.133,,,,,,,
Intensity elasticity to price,Literature,"Pei (1999), b - demand",,,,,,,,,0.177
Intensity elasticity to price,Literature,"Pei (1999), b - demand",,,0.153,,,,,-0.122,0.108
Intensity elasticity to price,Literature,"Pei (1999), b - demand",,,,,,,,-0.164,
Intensity elasticity to price,Literature,"Pei (1999), b - demand",,,0.111,,,,,,
Intensity elasticity to price,Literature,"Pei (1999), b - demand",,,0.079,,,,,,
Intensity elasticity to price,Literature,"Pei (1999), b - demand",,,,,,,,-0.134,
Intensity elasticity to price,Literature,"Pei (1999), b - demand",,,0.132,,,,,,0.107
Intensity elasticity to price,Literature,"Pei (1999), b - demand",,0.159,,,,,,-0.422,
Intensity elasticity to price,Literature,"Pei (1999), b - demand",,,,,-0.307,,,,
Intensity elasticity to price,Literature,"Tcha (2002), a - demand",-0.006,-0.005,-0.008,,-0.005,-0.055,,-0.068,-0.003
Intensity elasticity to price,Literature,"Tcha (2002), a - demand",0.1,0.105,0.065,,-0.048,-0.132,,0.036,0.111
Intensity elasticity to price,Literature,"Tcha (2002), a - demand",0.058,0.082,0.059,,-0.04,0.036,,-0.16,0.015
Intensity elasticity to price,Literature,"Tcha (2002), a - demand",-0.001,0.016,0.005,,-0.008,-0.08,,-0.091,-0.017
Intensity elasticity to price,Literature,"Tcha (2002), a - demand",0.028,0.042,0.058,,-0.029,0.087,,0.126,0.043
Intensity elasticity to price,Literature,"Tcha (2002), a - demand",0.068,0.175,0.042,,0.056,-0.045,,0.031,0.062
Intensity elasticity to price,Literature,"Tcha (2002), a - demand",0.037,0.142,0.187,,0.093,-0.028,,0.215,0.012
Intensity elasticity to price,Literature,"Tcha (2002), a - demand",-0.001,-0.036,-0.051,,0.105,-0.018,,-0.121,0.063
Intensity elasticity to price,Literature,"Tcha (2002), a - demand",-0.012,0.004,-0.025,,-0.006,-0.047,,-0.064,-0.02
Intensity elasticity to price,Literature,"Tcha (2002), b - demand",-0.009,-0.019,-0.007,,-0.003,-0.058,,-0.05,-0.003
Intensity elasticity to price,Literature,"Tcha (2002), b - demand",0.1,0.106,0.068,,-0.051,-0.139,,0.078,0.111
Intensity elasticity to price,Literature,"Tcha (2002), b - demand",0.054,0.077,0.045,,-0.057,0.037,,-0.143,0.016
Intensity elasticity to price,Literature,"Tcha (2002), b - demand",0.01,0.034,0.01,,-0.008,-0.078,,-0.082,-0.008
Intensity elasticity to price,Literature,"Tcha (2002), b - demand",0.029,0.047,0.052,,-0.032,0.069,,0.128,0.044
Intensity elasticity to price,Literature,"Tcha (2002), b - demand",0.069,0.177,0.04,,0.056,-0.044,,0.043,0.061
Intensity elasticity to price,Literature,"Tcha (2002), b - demand",0.039,0.153,0.187,,0.095,-0.025,,0.271,0.016
Intensity elasticity to price,Literature,"Tcha (2002), b - demand",-0.002,-0.032,-0.05,,0.107,-0.019,,-0.118,0.055
Intensity elasticity to price,Literature,"Tcha (2002), b - demand",-0.013,-0.009,-0.025,,0.001,-0.049,,-0.053,-0.02
Intensity elasticity to price,Literature,Tims (1977) - demand,,,-0.175417661097852,,,,,,
Intensity elasticity to price,Literature,Tims (1977) - demand,,,-0.147,,,,,,
Intensity elasticity to price,Literature,Wagenhals (1984) - demand,,,-0.0814,,,,,,
Intensity elasticity to price,Literature,Wagenhals (1984) - demand,,,-0.076,,,,,,
Intensity elasticity to price,Literature,Wagenhals (1984) - demand,,,-0.0972,,,,,,
Intensity elasticity to price,Literature,Wagenhals (1984) - demand,,,-0.0851,,,,,,
Intensity elasticity to price,Literature,Wagenhals (1984) - demand,,,-0.0954,,,,,,
Intensity elasticity to price,Literature,"Hojman (1981), a - demand",,-0.04,,,,,,,
Intensity elasticity to price,Literature,"Hojman (1981), b - demand",,-1.25,,,,,,,
Intensity elasticity to time,Literature,"Pei and Tilton (1999), a - demand",,-0.03,-0.04,,-0.01,-0.03,,-0.06,-0.04
Intensity elasticity to time,Literature,"Pei and Tilton (1999), b - demand",,0.152,0.097,,0.042,0.001,,0.001,0.02
Intensity elasticity to time,Literature,Stuermer (2017) - demand,,-0.008,-0.004,,-0.005,,,-0.001,-0.003
Intensity elasticity to time,Literature,Fu (2019),,,-0.06,,,,,,
Intensity elasticity to time,Literature,Fu (2019),,,-0.1,,,,,,
Intensity elasticity to time,Literature,Fu (2019),,,-0.09,,,,,,
Intensity elasticity to time,Literature,Fu (2019),,,-0.02,,,,,,
Intensity elasticity to time,Literature,Fu (2019),,,-0.08,,,,,,
Mine CU elasticity to TCM,Literature,Zink et al. (2018),,0.425,,,,,,,
Mine CU elasticity to TCM,Literature,Slade (1980a),,-0.25,,,,,,,
Mine CU elasticity to TCM,Literature,Hojman (1981),,0.05,,,,,,,
Mine CU elasticity to TCM,Literature,Deadman and Grace (1979),,0.23,,,,,,,
Mine CU elasticity to TCM,Literature,Rockerbie (1999),,,,0.492,,,,,
Mine CU elasticity to TCM,Literature,"Selvanathan (1999), a",,,,0.03,,,,,
Mine CU elasticity to TCM,Literature,"Selvanathan (1999), b",,,,1.237,,,,,
Mine CU elasticity to TCM,Literature,"Guzman-Soria (2019), a",0.0425,,,,,,,,
Mine CU elasticity to TCM,Literature,"Guzman-Soria (2019), b",0.2419,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), a",0.49,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), b",0.27,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), c",0.11,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), d",0.55,,,,,,,,
Mine CU elasticity to TCM,Literature,"Priovolos (1987), e",0.27,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), a",0.3,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), b",0.26,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), c",0.13,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), d",0.1,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), e",0.04,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), f",0.04,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), g",0.43,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), h",0.66,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), i",0.85,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), j",0.72,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), k",0.21,,,,,,,,
Mine CU elasticity to TCM,Literature,"Labson (1995), l",0.04,,,,,,,,
Mine CU elasticity to TCM,Literature,"Gupta (1982), a",,,,,,,,,0.24
Mine CU elasticity to TCM,Literature,"Gupta (1982), b",,,,,,,,,0.445
Mine CU elasticity to TCM,Literature,"Gupta (1982), c",,,,,,,,,0.316
Mine CU elasticity to TCM,Literature,"Gupta (1982), d",,,,,,,,,0.284
Mine CU elasticity to TCM,Literature,"Gupta (1982), e",,,,,,,,,0.617
Mine CU elasticity to TCM,Literature,"Gupta (1982), f",,,,,,,,,0.573
Mine CU elasticity to TCM,Literature,"Chhabra (1979), a",,,,,,,,0.31,
Mine CU elasticity to TCM,Literature,"Chhabra (1979), b",,,,,,,,0.64,
Mine CU elasticity to TCM,Literature,"Chhabra (1979), c",,,,,,,,0.24,
Mine CU elasticity to TCM,Literature,"Chhabra (1979), d",,,,,,,,0.3,
Mine CU elasticity to TCM,Literature,"Chhabra (1979), e",,,,,,,,1.11,
Mine CU elasticity to TCM,Literature,"Chhabra (1979), f",,,,,,,,0.7,
Mine CU elasticity to TCM,Literature,"Chhabra (1979), g",,,,,,,,1.25,
Mine CU elasticity to TCM,Literature,"Chhabra (1979), h",,,,,,,,1.34,
Mine CU elasticity to TCM,Literature,"Chhabra (1979), i",,,,,,,,0.7,
Mine CU elasticity to TCM,Literature,"Chhabra (1979), j",,,,,,,,2.09,
Mine CU elasticity to TCM,Literature,"Banks (1974), a",,,0.237,,,,,,
Mine CU elasticity to TCM,Literature,"Banks (1974), b",,,0.289,,,,,,
Mine CU elasticity to TCM,Literature,"Banks (1974), c",,,0.173,,,,,,
Mine CU elasticity to TCM,Literature,"Banks (1974), d",,,0.542,,,,,,
Mine CU elasticity to TCM,Literature,"Banks (1974), e",,,0.31,,,,,,
Mine CU elasticity to TCM,Literature,"Banks (1974), f",,,1.16,,,,,,
Mine CU elasticity to TCM,Literature,"Banks (1974), g",,,1.22,,,,,,
Mine CU elasticity to TCM,Literature,"Banks (1974), h",,,0.625,,,,,,
Mine CU elasticity to TCM,Literature,"Banks (1974), i",,,1.93,,,,,,
Mine CU elasticity to TCM,Literature,"Banks (1974), j",,,0.63,,,,,,
Mine CU elasticity to TCM,Literature,Choe (1990),,0.117,0.116,,0.109,0.133,,0.032,0.085
Mine CU elasticity to TCM,Literature,Charles River Associates (1970),,,0.34,,,,,,
Mine CU elasticity to TCM,Literature,"Fisher and Owen (1981), a",,0.291,,,,,,,
Mine CU elasticity to TCM,Literature,"Fisher and Owen (1981), b",,1.502,,,,,,,
Mine CU elasticity to TCM,Literature,Fu (2019),,,0.024,,,,,,
Mine CU elasticity to TCM,Literature,"Fisher (1972), a",,,0.6372,,,,,,
Mine CU elasticity to TCM,Literature,"Fisher (1972), b",,,0.112,,,,,,
Mine CU elasticity to TCM,Literature,"Fisher (1972), c",,,0.188,,,,,,
Mine CU elasticity to TCM,Literature,"Fisher (1972), d",,,0.0684,,,,,,
Mine CU elasticity to TCM,Literature,"Fisher (1972), e",,,0.1963,,,,,,
Mine CU elasticity to TCM,Literature,"Fisher (1972), f",,,1.67,,,,,,
Mine CU elasticity to TCM,Literature,"Fisher (1972), g",,,0.402,,,,,,
Mine CU elasticity to TCM,Literature,"Fisher (1972), i",,,1.68,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,1.16,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,1.22,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,0.63,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,0.625,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.21,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.228,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.29,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.294,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.421,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.328,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.368,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,0.2365,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,0.289,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,0.31,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,0.1726,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.152,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.127,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.177,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.253,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.221,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.252,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.39,,,,,,
Mine CU elasticity to TCM,Literature,Banks (1974),,,-0.294,,,,,,
Mine CU elasticity to TCM,Literature,Blomberg (2000),,0.17,,,,,,,
Mine CU elasticity to TCM,Literature,Chhabra (1978),,,,,,,,0.91,
Mine CU elasticity to TCM,Literature,Chhabra (1978),,,,,,,,0.7,
Mine CU elasticity to TCM,Literature,Chhabra (1978),,,,,,,,0.21,
Mine CU elasticity to TCM,Literature,Chhabra (1978),,,,,,,,0.31,
Mine CU elasticity to TCM,Literature,"Chhabra (1978), a",,,,,,,,1.25,
Mine CU elasticity to TCM,Literature,"Chhabra (1978), a",,,,,,,,0.6,
Mine CU elasticity to TCM,Literature,"Chhabra (1978), b",,,,,,,,1.34,
Mine CU elasticity to TCM,Literature,"Chhabra (1978), b",,,,,,,,0.24,
Mine CU elasticity to TCM,Literature,"Chhabra (1978), c",,,,,,,,0.7,
Mine CU elasticity to TCM,Literature,"Chhabra (1978), c",,,,,,,,0.3,
Mine CU elasticity to TCM,Literature,"Chhabra (1978), d",,,,,,,,2.09,
Mine CU elasticity to TCM,Literature,"Chhabra (1978), d",,,,,,,,1.11,
Mine CU elasticity to TCM,Literature,Choe (1990),,,0.116,,0.109,,,,0.085
Mine CU elasticity to TCM,Literature,Choe (1990),,0.117,,,,,,,
Mine CU elasticity to TCM,Literature,"Damuth (1979), in Damuth (2011)",0.833,,,,,,,,
Mine CU elasticity to TCM,Literature,"Damuth (1979), in Damuth (2011)",0.365,,,,,,,,
Mine CU elasticity to TCM,Literature,Damuth (2011),0.885,,,,,,,,
Mine CU elasticity to TCM,Literature,Damuth (2011),0.589,,,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1972),,,0.400858983536148,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1972),,,1.6806506849315,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1972),,,0.306218706915318,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1972),,,0.156407421059098,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1972),,,1.6538882803943,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1972),,,0.188,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1972),,,0.112,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1972),,,0.1963,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1972),,,0.422,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1972),,,0.2546,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1972),,,0.453,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1981),,1.5023,,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1981),,0.2911,,,,,,,
Mine CU elasticity to TCM,Literature,Fisher (1981),,0.9207,,,,,,,
Mine CU elasticity to TCM,Literature,Gupta (1982),,,,,,,,,0.573440322058427
Mine CU elasticity to TCM,Literature,Gupta (1982),,,,,,,,,0.853744963513751
Mine CU elasticity to TCM,Literature,Gupta (1982),,,,,,,,,0.147002
Mine CU elasticity to TCM,Literature,Gupta (1982),,,,,,,,,0.641603
Mine CU elasticity to TCM,Literature,Hojman (1981),,0.71,,,,,,,
Mine CU elasticity to TCM,Literature,Hojman (1981),,0.073,,,,,,,
Mine CU elasticity to TCM,Literature,Hojman (1981),,1.19,,,,,,,
Mine CU elasticity to TCM,Literature,Hojman (1981),,0.2,,,,,,,
Mine CU elasticity to TCM,Literature,Hojman (1981),,0.05,,,,,,,
Mine CU elasticity to TCM,Literature,Marsh (1983),,,,0.708,,,,,
Mine CU elasticity to TCM,Literature,Marsh (1983),,,,-0.422,,,,,
Mine CU elasticity to TCM,Literature,"Marsh (1983), a",,,,0.223,,,,,
Mine CU elasticity to TCM,Literature,"Marsh (1983), a",,,,0.965,,,,,
Mine CU elasticity to TCM,Literature,"Marsh (1983), a",,,,-0.283,,,,,
Mine CU elasticity to TCM,Literature,"Marsh (1983), a",,,,-0.446,,,,,
Mine CU elasticity to TCM,Literature,"Marsh (1983), b",,,,0.234,,,,,
