,Parameter,General source,Source,Commodity,Value,"Commodity, source"
785,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 7,Cu,0.1581217306030401,"Cu, this study"
786,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 8,Cu,0.0521366396038478,"Cu, this study"
787,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 9,Cu,0.0715094139383701,"Cu, this study"
788,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 10,Cu,0.3239647318124208,"Cu, this study"
789,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 11,Cu,0.3762347293111848,"Cu, this study"
790,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 12,Cu,0.0965012123905558,"Cu, this study"
791,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 13,Cu,0.0321479251847336,"Cu, this study"
792,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 14,Cu,0.0702566923133375,"Cu, this study"
793,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 15,Cu,0.0235723785667902,"Cu, this study"
794,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 16,Cu,0.0323103311401583,"Cu, this study"
795,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 17,Cu,0.0771906692887272,"Cu, this study"
796,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 18,Cu,0.1332057754016797,"Cu, this study"
797,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 19,Cu,0.0075145026476311,"Cu, this study"
798,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 20,Cu,0.0076172353906339,"Cu, this study"
799,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 21,Cu,0.0087401328548653,"Cu, this study"
800,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 22,Cu,0.1331490535170365,"Cu, this study"
801,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 23,Cu,0.0328084009213819,"Cu, this study"
802,"Ore grade elasticity
to COT distribution mean (**)",This study,This study 24,Cu,0.0093250424729677,"Cu, this study"
803,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 0,Cu,0.8590142882529855,"Cu, this study"
804,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 1,Cu,0.2603212260430822,"Cu, this study"
805,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 2,Cu,0.7142741249013318,"Cu, this study"
806,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 3,Cu,0.7034688552553496,"Cu, this study"
807,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 4,Cu,0.679236273626987,"Cu, this study"
808,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 5,Cu,0.1497869064270252,"Cu, this study"
809,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 6,Cu,0.6430043301133502,"Cu, this study"
810,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 7,Cu,0.1951646070179031,"Cu, this study"
811,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 8,Cu,0.6995362129636464,"Cu, this study"
812,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 9,Cu,0.9993485472846948,"Cu, this study"
813,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 10,Cu,0.9660859091074648,"Cu, this study"
814,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 11,Cu,0.3010813637934492,"Cu, this study"
815,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 12,Cu,0.9705101416026924,"Cu, this study"
816,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 13,Cu,0.1375520188593972,"Cu, this study"
817,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 14,Cu,0.2215448143053173,"Cu, this study"
818,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 15,Cu,0.7166489044411132,"Cu, this study"
819,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 16,Cu,0.6594527138821741,"Cu, this study"
820,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 17,Cu,0.5424608563151507,"Cu, this study"
821,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 18,Cu,0.9214897957732436,"Cu, this study"
822,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 19,Cu,0.1863732400738615,"Cu, this study"
823,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 20,Cu,0.3857118828948919,"Cu, this study"
824,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 21,Cu,0.6876962808107053,"Cu, this study"
825,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 22,Cu,0.6424935814876088,"Cu, this study"
826,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 23,Cu,0.8700936642036394,"Cu, this study"
827,"Primary refinery CU
elasticity to TCRC (.)",This study,This study 24,Cu,0.9163216178048856,"Cu, this study"
828,"Refined price elasticity
to SD ( )",This study,This study 0,Cu,-0.8530274442960937,"Cu, this study"
829,"Refined price elasticity
to SD ( )",This study,This study 1,Cu,-0.633440085314126,"Cu, this study"
830,"Refined price elasticity
to SD ( )",This study,This study 2,Cu,-0.9615160619096692,"Cu, this study"
831,"Refined price elasticity
to SD ( )",This study,This study 3,Cu,-0.639564383155576,"Cu, this study"
832,"Refined price elasticity
to SD ( )",This study,This study 4,Cu,-0.4255627958235682,"Cu, this study"
833,"Refined price elasticity
to SD ( )",This study,This study 5,Cu,-0.6208494623488136,"Cu, this study"
834,"Refined price elasticity
to SD ( )",This study,This study 6,Cu,-0.3639901443656654,"Cu, this study"
835,"Refined price elasticity
to SD ( )",This study,This study 7,Cu,-0.4023939600369697,"Cu, this study"
836,"Refined price elasticity
to SD ( )",This study,This study 8,Cu,-0.8006383828386521,"Cu, this study"
837,"Refined price elasticity
to SD ( )",This study,This study 9,Cu,-0.94832982101707,"Cu, this study"
838,"Refined price elasticity
to SD ( )",This study,This study 10,Cu,-0.5699051058944281,"Cu, this study"
839,"Refined price elasticity
to SD ( )",This study,This study 11,Cu,-0.776482858878414,"Cu, this study"
840,"Refined price elasticity
to SD ( )",This study,This study 12,Cu,-0.7901536326089377,"Cu, this study"
841,"Refined price elasticity
to SD ( )",This study,This study 13,Cu,-0.1974385164393464,"Cu, this study"
842,"Refined price elasticity
to SD ( )",This study,This study 14,Cu,-0.3972997488775106,"Cu, this study"
843,"Refined price elasticity
to SD ( )",This study,This study 15,Cu,-0.8693758539998289,"Cu, this study"
844,"Refined price elasticity
to SD ( )",This study,This study 16,Cu,-0.7580732043280378,"Cu, this study"
845,"Refined price elasticity
to SD ( )",This study,This study 17,Cu,-0.6659969331587651,"Cu, this study"
846,"Refined price elasticity
to SD ( )",This study,This study 18,Cu,-0.577087178532228,"Cu, this study"
847,"Refined price elasticity
to SD ( )",This study,This study 19,Cu,-0.8477255536765506,"Cu, this study"
848,"Refined price elasticity
to SD ( )",This study,This study 20,Cu,-0.4991027629161537,"Cu, this study"
849,"Refined price elasticity
to SD ( )",This study,This study 21,Cu,-0.7434214075775066,"Cu, this study"
850,"Refined price elasticity
to SD ( )",This study,This study 22,Cu,-0.707387885464045,"Cu, this study"
851,"Refined price elasticity
to SD ( )",This study,This study 23,Cu,-0.6614806267215376,"Cu, this study"
852,"Refined price elasticity
to SD ( )",This study,This study 24,Cu,-0.4977186276144524,"Cu, this study"
853,"Refinery SR elasticity
to TCRC ( )",This study,This study 0,Cu,-0.4268805084237848,"Cu, this study"
854,"Refinery SR elasticity
to TCRC ( )",This study,This study 1,Cu,-0.0487324606354837,"Cu, this study"
855,"Refinery SR elasticity
to TCRC ( )",This study,This study 2,Cu,-0.9181264088081984,"Cu, this study"
856,"Refinery SR elasticity
to TCRC ( )",This study,This study 3,Cu,-0.0405982865968932,"Cu, this study"
857,"Refinery SR elasticity
to TCRC ( )",This study,This study 4,Cu,-0.9485844305095772,"Cu, this study"
858,"Refinery SR elasticity
to TCRC ( )",This study,This study 5,Cu,-0.200874002708062,"Cu, this study"
859,"Refinery SR elasticity
to TCRC ( )",This study,This study 6,Cu,-0.7148995826239316,"Cu, this study"
860,"Refinery SR elasticity
to TCRC ( )",This study,This study 7,Cu,-0.5361420687785323,"Cu, this study"
861,"Refinery SR elasticity
to TCRC ( )",This study,This study 8,Cu,-0.6321526964360057,"Cu, this study"
862,"Refinery SR elasticity
to TCRC ( )",This study,This study 9,Cu,-0.8858218743545384,"Cu, this study"
863,"Refinery SR elasticity
to TCRC ( )",This study,This study 10,Cu,-0.748191658907556,"Cu, this study"
864,"Refinery SR elasticity
to TCRC ( )",This study,This study 11,Cu,-0.7221093075287534,"Cu, this study"
865,"Refinery SR elasticity
to TCRC ( )",This study,This study 12,Cu,-0.5116475669169915,"Cu, this study"
866,"Refinery SR elasticity
to TCRC ( )",This study,This study 13,Cu,-0.5525088974779195,"Cu, this study"
867,"Refinery SR elasticity
to TCRC ( )",This study,This study 14,Cu,-0.6403130837178512,"Cu, this study"
868,"Refinery SR elasticity
to TCRC ( )",This study,This study 15,Cu,-0.8925134769909715,"Cu, this study"
869,"Refinery SR elasticity
to TCRC ( )",This study,This study 16,Cu,-0.5378068077728129,"Cu, this study"
870,"Refinery SR elasticity
to TCRC ( )",This study,This study 17,Cu,-0.5117662538072207,"Cu, this study"
871,"Refinery SR elasticity
to TCRC ( )",This study,This study 18,Cu,-0.0221779864078757,"Cu, this study"
872,"Refinery SR elasticity
to TCRC ( )",This study,This study 19,Cu,-0.1380659163727179,"Cu, this study"
873,"Refinery SR elasticity
to TCRC ( )",This study,This study 20,Cu,-0.4320947396499036,"Cu, this study"
874,"Refinery SR elasticity
to TCRC ( )",This study,This study 21,Cu,-0.0872838051379262,"Cu, this study"
875,"Refinery SR elasticity
to TCRC ( )",This study,This study 22,Cu,-0.9168739000547584,"Cu, this study"
876,"Refinery SR elasticity
to TCRC ( )",This study,This study 23,Cu,-0.966961757217888,"Cu, this study"
877,"Refinery SR elasticity
to TCRC ( )",This study,This study 24,Cu,-0.7697170495282862,"Cu, this study"
878,"Refinery SR elasticity
to scrap spread ( )",This study,This study 0,Cu,0.3039667640018241,"Cu, this study"
879,"Refinery SR elasticity
to scrap spread ( )",This study,This study 1,Cu,0.3183928124713098,"Cu, this study"
880,"Refinery SR elasticity
to scrap spread ( )",This study,This study 2,Cu,0.9170225474158464,"Cu, this study"
881,"Refinery SR elasticity
to scrap spread ( )",This study,This study 3,Cu,0.1006203810341771,"Cu, this study"
882,"Refinery SR elasticity
to scrap spread ( )",This study,This study 4,Cu,0.6361693668995301,"Cu, this study"
883,"Refinery SR elasticity
to scrap spread ( )",This study,This study 5,Cu,0.3436931405641462,"Cu, this study"
884,"Refinery SR elasticity
to scrap spread ( )",This study,This study 6,Cu,0.9089886686024928,"Cu, this study"
885,"Refinery SR elasticity
to scrap spread ( )",This study,This study 7,Cu,0.5173399263990659,"Cu, this study"
886,"Refinery SR elasticity
to scrap spread ( )",This study,This study 8,Cu,0.9073021109921234,"Cu, this study"
887,"Refinery SR elasticity
to scrap spread ( )",This study,This study 9,Cu,0.4774200001545687,"Cu, this study"
888,"Refinery SR elasticity
to scrap spread ( )",This study,This study 10,Cu,0.1782238668808894,"Cu, this study"
889,"Refinery SR elasticity
to scrap spread ( )",This study,This study 11,Cu,0.9374226480106144,"Cu, this study"
890,"Refinery SR elasticity
to scrap spread ( )",This study,This study 12,Cu,0.1609207490657491,"Cu, this study"
891,"Refinery SR elasticity
to scrap spread ( )",This study,This study 13,Cu,0.4394402856480885,"Cu, this study"
892,"Refinery SR elasticity
to scrap spread ( )",This study,This study 14,Cu,0.4492146390438999,"Cu, this study"
893,"Refinery SR elasticity
to scrap spread ( )",This study,This study 15,Cu,0.2736549976214604,"Cu, this study"
894,"Refinery SR elasticity
to scrap spread ( )",This study,This study 16,Cu,0.9696502893101916,"Cu, this study"
895,"Refinery SR elasticity
to scrap spread ( )",This study,This study 17,Cu,0.1016851762114642,"Cu, this study"
896,"Refinery SR elasticity
to scrap spread ( )",This study,This study 18,Cu,0.2907113685175345,"Cu, this study"
897,"Refinery SR elasticity
to scrap spread ( )",This study,This study 19,Cu,0.6237211275965705,"Cu, this study"
898,"Refinery SR elasticity
to scrap spread ( )",This study,This study 20,Cu,0.2410578167245435,"Cu, this study"
899,"Refinery SR elasticity
to scrap spread ( )",This study,This study 21,Cu,0.8485659694114536,"Cu, this study"
900,"Refinery SR elasticity
to scrap spread ( )",This study,This study 22,Cu,0.2761142718955358,"Cu, this study"
901,"Refinery SR elasticity
to scrap spread ( )",This study,This study 23,Cu,0.4038676804923509,"Cu, this study"
902,"Refinery SR elasticity
to scrap spread ( )",This study,This study 24,Cu,0.3564493604578371,"Cu, this study"
903,"Scrap spread elasticity
to SD ( )",This study,This study 0,Cu,0.2368840383743511,"Cu, this study"
904,"Scrap spread elasticity
to SD ( )",This study,This study 1,Cu,0.9359027998953224,"Cu, this study"
905,"Scrap spread elasticity
to SD ( )",This study,This study 2,Cu,0.7063576175665497,"Cu, this study"
906,"Scrap spread elasticity
to SD ( )",This study,This study 3,Cu,0.2719126970196818,"Cu, this study"
907,"Scrap spread elasticity
to SD ( )",This study,This study 4,Cu,0.1088552868223835,"Cu, this study"
908,"Scrap spread elasticity
to SD ( )",This study,This study 5,Cu,0.0781038573545672,"Cu, this study"
909,"Scrap spread elasticity
to SD ( )",This study,This study 6,Cu,0.1742826666280285,"Cu, this study"
910,"Scrap spread elasticity
to SD ( )",This study,This study 7,Cu,0.4469420447925819,"Cu, this study"
911,"Scrap spread elasticity
to SD ( )",This study,This study 8,Cu,0.9976224615439274,"Cu, this study"
912,"Scrap spread elasticity
to SD ( )",This study,This study 9,Cu,0.9593037845727902,"Cu, this study"
913,"Scrap spread elasticity
to SD ( )",This study,This study 10,Cu,0.7953730224064651,"Cu, this study"
914,"Scrap spread elasticity
to SD ( )",This study,This study 11,Cu,0.7611442537155084,"Cu, this study"
915,"Scrap spread elasticity
to SD ( )",This study,This study 12,Cu,0.4252330372971293,"Cu, this study"
916,"Scrap spread elasticity
to SD ( )",This study,This study 13,Cu,0.5152429027921601,"Cu, this study"
917,"Scrap spread elasticity
to SD ( )",This study,This study 14,Cu,0.8534773616523357,"Cu, this study"
918,"Scrap spread elasticity
to SD ( )",This study,This study 15,Cu,0.1304967532958831,"Cu, this study"
919,"Scrap spread elasticity
to SD ( )",This study,This study 16,Cu,0.0273284031097503,"Cu, this study"
920,"Scrap spread elasticity
to SD ( )",This study,This study 17,Cu,0.6190007852641738,"Cu, this study"
921,"Scrap spread elasticity
to SD ( )",This study,This study 18,Cu,0.2726027704827412,"Cu, this study"
922,"Scrap spread elasticity
to SD ( )",This study,This study 19,Cu,0.9894464559316496,"Cu, this study"
923,"Scrap spread elasticity
to SD ( )",This study,This study 20,Cu,0.5251200455365683,"Cu, this study"
924,"Scrap spread elasticity
to SD ( )",This study,This study 21,Cu,0.9880564458323386,"Cu, this study"
925,"Scrap spread elasticity
to SD ( )",This study,This study 22,Cu,0.8550803982153189,"Cu, this study"
926,"Scrap spread elasticity
to SD ( )",This study,This study 23,Cu,0.8632906286353097,"Cu, this study"
927,"Scrap spread elasticity
to SD ( )",This study,This study 24,Cu,0.8829081494998366,"Cu, this study"
928,"Scrap spread elasticity
to price ( )",This study,This study 0,Cu,0.4589991722325284,"Cu, this study"
929,"Scrap spread elasticity
to price ( )",This study,This study 1,Cu,0.4664339768223428,"Cu, this study"
930,"Scrap spread elasticity
to price ( )",This study,This study 2,Cu,0.5378448884902095,"Cu, this study"
931,"Scrap spread elasticity
to price ( )",This study,This study 3,Cu,0.0819246460089171,"Cu, this study"
932,"Scrap spread elasticity
to price ( )",This study,This study 4,Cu,0.4434256156795833,"Cu, this study"
933,"Scrap spread elasticity
to price ( )",This study,This study 5,Cu,0.9264766954191896,"Cu, this study"
934,"Scrap spread elasticity
to price ( )",This study,This study 6,Cu,0.9857168552667814,"Cu, this study"
935,"Scrap spread elasticity
to price ( )",This study,This study 7,Cu,0.6388057505173688,"Cu, this study"
936,"Scrap spread elasticity
to price ( )",This study,This study 8,Cu,0.2640152871935075,"Cu, this study"
937,"Scrap spread elasticity
to price ( )",This study,This study 9,Cu,0.1622117087846267,"Cu, this study"
938,"Scrap spread elasticity
to price ( )",This study,This study 10,Cu,0.9808848552678638,"Cu, this study"
939,"Scrap spread elasticity
to price ( )",This study,This study 11,Cu,0.4606294606234806,"Cu, this study"
940,"Scrap spread elasticity
to price ( )",This study,This study 12,Cu,0.1984367172496566,"Cu, this study"
941,"Scrap spread elasticity
to price ( )",This study,This study 13,Cu,0.2418053870121761,"Cu, this study"
942,"Scrap spread elasticity
to price ( )",This study,This study 14,Cu,0.7202158963134322,"Cu, this study"
943,"Scrap spread elasticity
to price ( )",This study,This study 15,Cu,0.4970217428435609,"Cu, this study"
944,"Scrap spread elasticity
to price ( )",This study,This study 16,Cu,0.6592533192123642,"Cu, this study"
945,"Scrap spread elasticity
to price ( )",This study,This study 17,Cu,0.624581147074,"Cu, this study"
946,"Scrap spread elasticity
to price ( )",This study,This study 18,Cu,0.2491408605523877,"Cu, this study"
947,"Scrap spread elasticity
to price ( )",This study,This study 19,Cu,0.5768561454641635,"Cu, this study"
948,"Scrap spread elasticity
to price ( )",This study,This study 20,Cu,0.9569140680782768,"Cu, this study"
949,"Scrap spread elasticity
to price ( )",This study,This study 21,Cu,0.6908941531431049,"Cu, this study"
950,"Scrap spread elasticity
to price ( )",This study,This study 22,Cu,0.1824034513725212,"Cu, this study"
951,"Scrap spread elasticity
to price ( )",This study,This study 23,Cu,0.3070652824523915,"Cu, this study"
952,"Scrap spread elasticity
to price ( )",This study,This study 24,Cu,0.8407719937397004,"Cu, this study"
953,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 0,Cu,0.1898361563917748,"Cu, this study"
954,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 1,Cu,0.0799237272956548,"Cu, this study"
955,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 2,Cu,0.0136573654985445,"Cu, this study"
956,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 3,Cu,0.1408677669863484,"Cu, this study"
957,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 4,Cu,0.0916954331382512,"Cu, this study"
958,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 5,Cu,0.6996078368546321,"Cu, this study"
959,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 6,Cu,0.6278221448114921,"Cu, this study"
960,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 7,Cu,0.9668994845975863,"Cu, this study"
961,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 8,Cu,0.549293894175921,"Cu, this study"
962,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 9,Cu,0.9221517301167924,"Cu, this study"
963,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 10,Cu,0.470220029033371,"Cu, this study"
964,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 11,Cu,0.5536022642603459,"Cu, this study"
965,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 12,Cu,0.7563045726889739,"Cu, this study"
966,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 13,Cu,0.0838827177435243,"Cu, this study"
967,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 14,Cu,0.4330235334591923,"Cu, this study"
968,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 15,Cu,0.4795672021249124,"Cu, this study"
969,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 16,Cu,0.1696558159744124,"Cu, this study"
970,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 17,Cu,0.1343819677654043,"Cu, this study"
971,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 18,Cu,0.1528969124102593,"Cu, this study"
972,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 19,Cu,0.4730928740744404,"Cu, this study"
973,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 20,Cu,0.1042119734788032,"Cu, this study"
974,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 21,Cu,0.5273237015651991,"Cu, this study"
975,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 22,Cu,0.7265726788904223,"Cu, this study"
976,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 23,Cu,0.6157927890558175,"Cu, this study"
977,"Secondary refinery CU
elasticity to TCRC ( )",This study,This study 24,Cu,0.2436989922966361,"Cu, this study"
978,"TCRC elasticity to
SD ( )",This study,This study 0,Cu,0.0185607924372803,"Cu, this study"
979,"TCRC elasticity to
SD ( )",This study,This study 1,Cu,0.0894748372630639,"Cu, this study"
980,"TCRC elasticity to
SD ( )",This study,This study 2,Cu,0.0827230460974796,"Cu, this study"
981,"TCRC elasticity to
SD ( )",This study,This study 3,Cu,0.0010955042567093,"Cu, this study"
982,"TCRC elasticity to
SD ( )",This study,This study 4,Cu,0.0896592371688267,"Cu, this study"
983,"TCRC elasticity to
SD ( )",This study,This study 5,Cu,0.9616175001155828,"Cu, this study"
984,"TCRC elasticity to
SD ( )",This study,This study 6,Cu,0.2655859970607548,"Cu, this study"
985,"TCRC elasticity to
SD ( )",This study,This study 7,Cu,0.9855357936234632,"Cu, this study"
986,"TCRC elasticity to
SD ( )",This study,This study 8,Cu,0.2784896624398028,"Cu, this study"
987,"TCRC elasticity to
SD ( )",This study,This study 9,Cu,0.7678291550261952,"Cu, this study"
988,"TCRC elasticity to
SD ( )",This study,This study 10,Cu,0.9990127685546676,"Cu, this study"
989,"TCRC elasticity to
SD ( )",This study,This study 11,Cu,0.9506159798518276,"Cu, this study"
990,"TCRC elasticity to
SD ( )",This study,This study 12,Cu,0.0429410081786351,"Cu, this study"
991,"TCRC elasticity to
SD ( )",This study,This study 13,Cu,0.8372475930652429,"Cu, this study"
992,"TCRC elasticity to
SD ( )",This study,This study 14,Cu,0.0021990660994465,"Cu, this study"
993,"TCRC elasticity to
SD ( )",This study,This study 15,Cu,0.800563035420252,"Cu, this study"
994,"TCRC elasticity to
SD ( )",This study,This study 16,Cu,0.0532370884686318,"Cu, this study"
995,"TCRC elasticity to
SD ( )",This study,This study 17,Cu,0.0856049385043084,"Cu, this study"
996,"TCRC elasticity to
SD ( )",This study,This study 18,Cu,0.6877742312642845,"Cu, this study"
997,"TCRC elasticity to
SD ( )",This study,This study 19,Cu,0.8594221893984461,"Cu, this study"
998,"TCRC elasticity to
SD ( )",This study,This study 20,Cu,0.8886991313585381,"Cu, this study"
999,"TCRC elasticity to
SD ( )",This study,This study 21,Cu,0.0249529640629237,"Cu, this study"
1000,"TCRC elasticity to
SD ( )",This study,This study 22,Cu,0.0171726789246978,"Cu, this study"
1001,"TCRC elasticity to
SD ( )",This study,This study 23,Cu,0.9892396228808094,"Cu, this study"
1002,"TCRC elasticity to
SD ( )",This study,This study 24,Cu,0.7054202167471744,"Cu, this study"
1003,"Collection elasticity to
scrap price (***)",Literature,"Gomez (2007), a",Cu,0.201,"Cu, literature"
1004,"Collection elasticity to
scrap price (***)",Literature,"Gomez (2007), b",Cu,0.272,"Cu, literature"
1005,"Collection elasticity to
scrap price (***)",Literature,Slade (1980b),Cu,0.28,"Cu, literature"
1006,"Collection elasticity to
scrap price (***)",Literature,Vial (1988),Cu,0.33,"Cu, literature"
1007,"Collection elasticity to
scrap price (***)",Literature,Vial (1988),Cu,0.26,"Cu, literature"
1008,"Collection elasticity to
scrap price (***)",Literature,Intarapravich (1989),Cu,0.075,"Cu, literature"
1009,"Collection elasticity to
scrap price (***)",Literature,Vial (2004),Cu,0.2,"Cu, literature"
1010,"Collection elasticity to
scrap price (***)",Literature,Vial (2004),Cu,0.11,"Cu, literature"
1011,"Collection elasticity to
scrap price (***)",Literature,Valencia (2005),Cu,0.32,"Cu, literature"
1012,"Collection elasticity to
scrap price (***)",Literature,Valencia (2005),Cu,0.31,"Cu, literature"
1013,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), a - from demand",Cu,0.2410000000000001,"Cu, literature"
1014,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), b - from demand",Cu,0.10099999999999998,"Cu, literature"
1015,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), c - from demand",Cu,-0.31399999999999995,"Cu, literature"
1016,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), d - from demand",Cu,-0.263,"Cu, literature"
1017,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), e - from demand",Cu,-0.31599999999999995,"Cu, literature"
1018,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), f - from demand",Cu,-0.29000000000000004,"Cu, literature"
1019,"Intensity elasticity to
GDP (***)",Literature,"Pei and Tilton (1999), a - from demand",Cu,0.31000000000000005,"Cu, literature"
1020,"Intensity elasticity to
GDP (***)",Literature,"Pei and Tilton (1999), b - from demand",Cu,-0.994,"Cu, literature"
1021,"Intensity elasticity to
GDP (***)",Literature,Tcha and Takashina (2002) - from demand,Cu,-0.15400000000000003,"Cu, literature"
1022,"Intensity elasticity to
GDP (***)",Literature,Evans and Lewis (2005) - from demand,Cu,-0.22509999999999997,"Cu, literature"
1023,"Intensity elasticity to
GDP (***)",Literature,Stuermer (2017) - from demand,Cu,0.10200000000000009,"Cu, literature"
1024,"Intensity elasticity to
GDP (***)",Literature,Fu (2019),Cu,0.69,"Cu, literature"
1025,"Intensity elasticity to
GDP (***)",Literature,"Bozdogan (1979), a - from demand",Cu,0.30000000000000004,"Cu, literature"
1026,"Intensity elasticity to
GDP (***)",Literature,"Bozdogan (1979), b - from demand",Cu,0.78,"Cu, literature"
1027,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), a - from demand",Cu,-0.263,"Cu, literature"
1028,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), a - from demand",Cu,0.2410000000000001,"Cu, literature"
1029,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), b - from demand",Cu,-0.31399999999999995,"Cu, literature"
1030,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), b - from demand",Cu,0.10099999999999998,"Cu, literature"
1031,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), c - from demand",Cu,-0.29000000000000004,"Cu, literature"
1032,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), d - from demand",Cu,-0.31599999999999995,"Cu, literature"
1033,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), e - from demand",Cu,-0.351,"Cu, literature"
1034,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), f - from demand",Cu,-0.30900000000000005,"Cu, literature"
1035,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), g - from demand",Cu,-0.41900000000000004,"Cu, literature"
1036,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), h - from demand",Cu,0.10000000000000009,"Cu, literature"
1037,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), i - from demand",Cu,-0.09799999999999998,"Cu, literature"
1038,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), j - from demand",Cu,-0.5720000000000001,"Cu, literature"
1039,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), k - from demand",Cu,-0.751,"Cu, literature"
1040,"Intensity elasticity to
GDP (***)",Literature,"Fernandez (2018), l - from demand",Cu,-1.306,"Cu, literature"
1041,"Intensity elasticity to
GDP (***)",Literature,Fisher (1972) - from demand,Cu,-0.39859999999999995,"Cu, literature"
1042,"Intensity elasticity to
GDP (***)",Literature,Fisher (1972) - from demand,Cu,-0.5912999999999999,"Cu, literature"
1043,"Intensity elasticity to
GDP (***)",Literature,Fisher (1972) - from demand,Cu,-0.007900000000000018,"Cu, literature"
1044,"Intensity elasticity to
GDP (***)",Literature,"Fisher (1972), a - from demand",Cu,-0.6682,"Cu, literature"
