,,,Steel,Al,Cu,Au,Pb,Ni,Ag,Sn,Zn,Degrees of freedom,Years,Notes,Paper notes
Mine CU elasticity to TCM,Fisher (1972),"Unknown, long run",,,0.400858984,,,,,,,,1948-1968," , Region: Chile; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, long run",,,1.680650685,,,,,,,,1948-1968," , Region: ROW; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, long run",,,0.306218707,,,,,,,,1950-1968," rate, Region: U.S/; Comments from Dahl: also linear U.S. new scrap as function of consumption",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, long run",,,0.156407421,,,,,,,,1952-1968," ScrapTotal, Region: ROW; Comments from Dahl:  ",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, long run",,,1.65388828,,,,,,,,1959-1958-1962-1966," , Region: U.S.; Comments from Dahl: Also price, stock and exports to u.s. Eq",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.188,,,,,,,,1948-1967," , Region: Canada; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.112,,,,,,,,1948-1968," , Region: Chile; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.1963,,,,,,,,1948-1968," , Region: ROW; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.422,,,,,,,,1950-1968," rate, Region: U.S/; Comments from Dahl: also linear U.S. new scrap as function of consumption",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.2546,,,,,,,,1952-1968," ScrapTotal, Region: ROW; Comments from Dahl:  ",
Mine CU elasticity to TCM,Fisher (1972),"Unknown, short run",,,0.453,,,,,,,,1959-1958-1962-1966," , Region: U.S.; Comments from Dahl: Also price, stock and exports to u.s. Eq",
Collection elasticity to refined price,"Fisher (1972), a","Two stage least squares, short run",,,0.43,,,,,,,19,1947-1968,USA,
Mine CU elasticity to TCM,"Fisher (1972), a","Two stage least squares, short run",,,0.6372,,,,,,,12,"1949-58, 1962-66",USA,
Intensity elasticity to GDPPC,"Fisher (1972), a - from demand","Unknown, static",,,-0.6682,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Intensity elasticity to price,"Fisher (1972), a - from demand","Unknown, long run",,,-0.808115283,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Intensity elasticity to price,"Fisher (1972), a - from demand","Unknown, short run",,,-0.2131,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Collection elasticity to refined price,"Fisher (1972), b","Two stage least squares, long run",,,0.31,,,,,,,19,1947-1968,USA,
Mine CU elasticity to TCM,"Fisher (1972), b","Two stage least squares, short run",,,0.112,,,,,,,18,1948-1968,Chile,
Intensity elasticity to GDPPC,"Fisher (1972), b - from demand","Unknown, static",,,0.258248009,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Intensity elasticity to price,"Fisher (1972), b - from demand","Unknown, long run",,,-0.826315789,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Intensity elasticity to price,"Fisher (1972), b - from demand","Unknown, short run",,,-0.1727,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Fisher (1972), c","Two stage least squares, short run",,,0.188,,,,,,,18,1948-1968,"Long run elasticity for Canada was unreliable, Canada",
Intensity elasticity to GDPPC,"Fisher (1972), c - from demand","Unknown, static",,,-0.8471,,,,,,,,1950-58-1962-1966," , Region: U.S.; Comments from Dahl: nan",
Mine CU elasticity to TCM,"Fisher (1972), d","Two stage least squares, short run",,,0.0684,,,,,,,18,1948-1968,Zambia,
Mine CU elasticity to TCM,"Fisher (1972), e","Two stage least squares, short run",,,0.1963,,,,,,,18,1948-1968,"Long run elasticity for Rest of World was unreliable, rest of world",
Mine CU elasticity to TCM,"Fisher (1972), f","Two stage least squares, long run",,,1.67,,,,,,,12,"1949-58, 1962-66",USA,
Mine CU elasticity to TCM,"Fisher (1972), g","Two stage least squares, long run",,,0.402,,,,,,,18,1948-1968,Chile,
Mine CU elasticity to TCM,"Fisher (1972), i","Two stage least squares, long run",,,1.68,,,,,,,18,1948-1968,Rest of world,
Intensity elasticity to price,Fisher (1981) - from demand,"Unknown, long run",,-0.3049,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: new scrap not fn of price, also some price equations",
Intensity elasticity to price,Fisher (1981) - from demand,"Unknown, short run",,-0.2457,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: new scrap not fn of price, also some price equations",
Mine CU elasticity to TCM,Fisher (1981),"Unknown, long run",,1.5023,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1981),"Unknown, short run",,0.2911,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,Fisher (1981),"Unknown, static",,0.9207,,,,,,,,,1960-1978," Scrap New, Region: United States; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Fisher (1981), a - from demand","Unknown, static",,1.2573,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: new scrap not fn of price, also some price equations",
Intensity elasticity to GDPPC,"Fisher (1981), b - from demand","Unknown, static",,0.2827,,,,,,,,,1960-1978," , Region: United States; Comments from Dahl: new scrap not fn of price, also some price equations",
Intensity elasticity to GDPPC,Fisher and Owen (1981) - from demand,Three stage least squares,,0.2827,,,,,,,,13,1960-1978,Industrial production index is used rather than GDPPC here,
Collection elasticity to scrap price,Fisher and Owen (1981),Three stage least squares,,0.9207,,,,,,,,13,1960-1978,,
Intensity elasticity to price,"Fisher and Owen (1981), a - from demand","Three stage least squares, short run",,-0.246,,,,,,,,13,1960-1978,,
Mine CU elasticity to TCM,"Fisher and Owen (1981), a","Three stage least squares, short run",,0.291,,,,,,,,13,1960-1978,US,
Intensity elasticity to price,"Fisher and Owen (1981), b - from demand","Three stage least squares, long run",,-0.3049,,,,,,,,13,1960-1978,,
Mine CU elasticity to TCM,"Fisher and Owen (1981), b","Three stage least squares, long run",,1.502,,,,,,,,13,1960-1978,US,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.1,,,,,,,11,2000-2015,Construction,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.05,,,,,,,11,2000-2015,Electrical,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.08,,,,,,,11,2000-2015,Industrial,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,0,,,,,,,11,2000-2015,Transportation,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.12,,,,,,,11,2000-2015,Consumer and others,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.17,,,,,,,11,2000-2015,China,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.02,,,,,,,11,2000-2015,EU,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,0.02,,,,,,,11,2000-2015,Japan,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.16,,,,,,,11,2000-2015,North America,
Intensity elasticity to price,Fu (2019),Bayesian regression,,,-0.07,,,,,,,11,2000-2015,Rest of World,
Intensity elasticity to GDPPC,Fu (2019),Bayesian regression,,,0.69,,,,,,,11,2000-2015,,
Intensity elasticity to time,Fu (2019),Bayesian regression,,,-0.06,,,,,,,11,2000-2015,Construction,
Intensity elasticity to time,Fu (2019),Bayesian regression,,,-0.1,,,,,,,11,2000-2015,Electrical,
Intensity elasticity to time,Fu (2019),Bayesian regression,,,-0.09,,,,,,,11,2000-2015,Industrial,
Intensity elasticity to time,Fu (2019),Bayesian regression,,,-0.02,,,,,,,11,2000-2015,Transportation,
Intensity elasticity to time,Fu (2019),Bayesian regression,,,-0.08,,,,,,,11,2000-2015,Consumer and others,
Mine CU elasticity to TCM,Fu (2019),"Dynamic panel regression, long run",,,0.024,,,,,,,1599,1991-2018,,
Primary refinery CU elasticity to TCRC,Fu (2019),"Dynamic panel regression, long run",,,0.057,,,,,,,1668,1992-2016,,
Secondary refinery CU elasticity to TCRC,Fu (2019),"Dynamic panel regression, long run",,,0.153,,,,,,,1155,1992-2016,,
Refinery SR elasticity to TCRC,Fu (2019),"Dynamic panel regression, long run",,,-0.197,,,,,,,845,1992-2016,,
Refinery SR elasticity to scrap spread,Fu (2019),"Dynamic panel regression, long run",,,0.316,,,,,,,845,1992-2016,Scrap spread is LME copper price minus No.2 copper scrap (birch) price,
Refined price elasticity to SD,Fu (2019),"Autoregressive distributed lag, long-run",,,-0.461,,,,,,,163,2005-2019,"Monthly data frequency, in linear form such that each kt increase in world copper inventory causes a 0.633 USD/t decrease in copper price, adjusted using correlation between LME inventory and global supply-demand imbalance",
TCRC elasticity to SD,Fu (2019),Ordinary least squares,,,0.164,,,,,,,35,1982-2018,In linear form such that each kt increase in world concentrate inventory causes a 0.164 USD/t payable copper increase in TCRC,
Scrap spread elasticity to price,Fu (2019),"Ordinary least squares, long run",,,0.184,,,,,,,307,1995-2019,"Monthly data frequency, in linear form such that each 1 USD/t increase in copper cathode price causes a 0.184 USD/t increase in No.2 copper scrap (birch) spread",
Scrap spread elasticity to SD,Fu (2019),Estimation,,,0.0845,,,,,,,,,Product of scrap spread elasticity to primary price and price elasticity to supply-demand imbalance,
Collection elasticity to refined price,Fu et al. (2017),"Autoregressive distributed lag, long-run",,,0.001,,,,,,,33,1972-2012,Use the difference between current price and its five-year average,
Collection elasticity to scrap price,"Gomez (2007), a","Ridge regression, short run",,,0.201,,,,,,,45,1966-2005,,
Collection elasticity to scrap price,"Gomez (2007), b","Ridge regression, long run",,,0.272,,,,,,,45,1966-2005,,
Collection elasticity to scrap price,Grant (1999),Nonlinear least squares,,0.6,,,,,,,,15,1923-1940,Hard to tell how many regressors were actually used,
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,0.35498,,1956-1974," DieCast, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.093976,,1956-1974," DieCast, Region: Japan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.204613,,1956-1974," DieCast, Region: U.K; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,0.0459,,1956-1974," DieCast, Region: U.S; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.061718,,1956-1974," Galvan, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.300773,,1956-1974," Galvan, Region: Japan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.38681,,1956-1974," Galvan, Region: U.S; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.160576,,1956-1974," MakeBrass, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.358324,,1956-1974," MakeBrass, Region: Japan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.28565,,1956-1974," MakeBrass, Region: U.S; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,0.52652,,1956-1974," Misc, Region: Japan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.404141,,1956-1974," Misc, Region: U.K; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,1.97622,,1956-1974," Misc, Region: U.S; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.235969,,1956-1974," Oxide, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.522026,,1956-1974," Oxide, Region: Japan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.593509,,1956-1974," Oxide, Region: U.K; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.213078,,1956-1974," Oxide, Region: U.S; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.47673,,1956-1974," Rolled, Region: Japan; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.641307,,1956-1974," Rolled, Region: U.K; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.001064,,1960-1974," DieCast, Region: France; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.389471,,1960-1974," MakeBrass, Region: France; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.439707,,1960-1974," Misc, Region: France; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1979) - from demand,"Unknown, static",,,,,,,,,-0.862722,,1960-1974," Rolled, Region: France; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, long run",,,,,,,,,-0.428395,,1956-1974," DieCast, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, long run",,,,,,,,,0.0803,,1956-1974," DieCast, Region: Japan; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, long run",,,,,,,,,-0.140465,,1956-1974," DieCast, Region: U.K; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, long run",,,,,,,,,-2.062,,1956-1974," DieCast, Region: U.S; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, long run",,,,,,,,,-0.7,,1956-1974," Galvan, Region: U.K; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, long run",,,,,,,,,-0.221,,1956-1974," MakeBrass, Region: U.K; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, long run",,,,,,,,,-1.62991,,1956-1974," Oxide, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, long run",,,,,,,,,-1.2662,,1956-1974," Rolled, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, long run",,,,,,,,,-0.5959,,1960-1974," MakeBrass, Region: France; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, long run",,,,,,,,,-0.78317,,1960-1974," Rolled, Region: France; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, short run",,,,,,,,,-0.06807,,1956-1974," DieCast, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, short run",,,,,,,,,-0.03445,,1956-1974," DieCast, Region: Japan; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, short run",,,,,,,,,-0.028093,,1956-1974," DieCast, Region: U.K; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, short run",,,,,,,,,-0.2857,,1956-1974," DieCast, Region: U.S; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, short run",,,,,,,,,-0.14,,1956-1974," Galvan, Region: U.K; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, short run",,,,,,,,,-0.1104,,1956-1974," MakeBrass, Region: U.K; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, short run",,,,,,,,,-1.241,,1956-1974," Misc, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, short run",,,,,,,,,-0.2172,,1956-1974," Oxide, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, short run",,,,,,,,,-0.2265,,1956-1974," Rolled, Region: Germany, W; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, short run",,,,,,,,,-0.09777,,1960-1974," MakeBrass, Region: France; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1979) - from demand,"Unknown, short run",,,,,,,,,-0.1038,,1960-1974," Rolled, Region: France; Comments from Dahl: nan",
Collection elasticity to scrap price,Gupta (1982),OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.65,15,1956-1974,For US old scrap,
Intensity elasticity to GDPPC,Gupta (1982) - from demand,"Unknown, static",,,,,,,,,-0.334448,,1956-1974," , Region: Japan; Comments from Dahl: Other Eq-scrap,stock, price",
Intensity elasticity to GDPPC,Gupta (1982) - from demand,"Unknown, static",,,,,,,,,0.20933,,1956-1974," , Region: Rest of the Developed World ; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1982) - from demand,"Unknown, static",,,,,,,,,0.30784,,1956-1974," , Region: Rest of the World ; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1982) - from demand,"Unknown, static",,,,,,,,,-0.580168,,1956-1974," , Region: U.K.; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1982) - from demand,"Unknown, static",,,,,,,,,-0.169425,,1956-1974," , Region: United States; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1982) - from demand,"Unknown, static",,,,,,,,,-0.187529,,1956-1974," , Region: West Germany; Comments from Dahl: nan",
Intensity elasticity to GDPPC,Gupta (1982) - from demand,"Unknown, static",,,,,,,,,-0.455164,,1960-1974," , Region: France; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, long run",,,,,,,,,0.444675988,,1956-1974," , Region: Canada; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, long run",,,,,,,,,0.316446918,,1956-1974," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, long run",,,,,,,,,0.283802471,,1956-1974," , Region: Mexico; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, long run",,,,,,,,,0.616656427,,1956-1974," , Region: Peru; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, long run",,,,,,,,,-0.00515,,1956-1974," , Region: Rest of the Developed World ; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, long run",,,,,,,,,-0.443118,,1956-1974," , Region: Rest of the World ; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, long run",,,,,,,,,-0.0772,,1956-1974," , Region: U.K.; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, long run",,,,,,,,,-0.980674,,1956-1974," , Region: United States; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, short run",,,,,,,,,0.227257,,1956-1974," , Region: Canada; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, short run",,,,,,,,,0.146932,,1956-1974," , Region: Europe; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, short run",,,,,,,,,0.180808,,1956-1974," , Region: Mexico; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, short run",,,,,,,,,0.365364,,1956-1974," , Region: Peru; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, short run",,,,,,,,,-0.000515,,1956-1974," , Region: Rest of the Developed World ; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, short run",,,,,,,,,-0.0443118,,1956-1974," , Region: Rest of the World ; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, short run",,,,,,,,,-0.01543714,,1956-1974," , Region: U.K.; Comments from Dahl: nan",
Intensity elasticity to price,Gupta (1982) - from demand,"Unknown, short run",,,,,,,,,-0.1442,,1956-1974," , Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,Gupta (1982),"Unknown, long run",,,,,,,,,0.573440322,,1956-1974," , Region: Row; Comments from Dahl: nan",
Mine CU elasticity to TCM,Gupta (1982),"Unknown, long run",,,,,,,,,0.853744964,,1956-1974," , Region: United States; Comments from Dahl: nan",
Mine CU elasticity to TCM,Gupta (1982),"Unknown, short run",,,,,,,,,0.147002,,1956-1974," , Region: Row; Comments from Dahl: nan",
Mine CU elasticity to TCM,Gupta (1982),"Unknown, short run",,,,,,,,,0.641603,,1956-1974," , Region: United States; Comments from Dahl: nan",
Intensity elasticity to price,"Gupta (1982), a - from demand",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.25,11,1960-1974,For France,
Mine CU elasticity to TCM,"Gupta (1982), a",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.24,15,1956-1974,For Australia,
Intensity elasticity to price,"Gupta (1982), b - from demand",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.035,15,1956-1974,For Japan,
Mine CU elasticity to TCM,"Gupta (1982), b",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.445,15,1956-1974,For Canada,
Intensity elasticity to price,"Gupta (1982), c - from demand",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.077,15,1956-1974,For United Kingdom,
Mine CU elasticity to TCM,"Gupta (1982), c",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.316,15,1956-1974,For Europe,
Intensity elasticity to price,"Gupta (1982), d - from demand",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.78,15,1956-1974,For West Germany,
Mine CU elasticity to TCM,"Gupta (1982), d",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.284,15,1956-1974,For Mexico,
Intensity elasticity to price,"Gupta (1982), e - from demand",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.005,15,1956-1974,For rest of world (high income),
Mine CU elasticity to TCM,"Gupta (1982), e",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.617,15,1956-1974,For Peru,
Intensity elasticity to price,"Gupta (1982), f - from demand",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,-0.443,15,1956-1974,For rest of world (low income),
Mine CU elasticity to TCM,"Gupta (1982), f",OLS + Cochrane-Orcutt autocorrelation correction,,,,,,,,,0.573,15,1956-1974,For Rest of World,
Mine CU elasticity to TCM,"Guzman-Soria (2019), a","Simultaneous equation model, short run",0.0425,,,,,,,,,19,1980-2017,For Mexico steel production,
Mine CU elasticity to TCM,"Guzman-Soria (2019), b","Simultaneous equation model, long run",0.2419,,,,,,,,,19,1980-2017,For Mexico steel production,
Intensity elasticity to GDPPC,Hashimoto (1981) - from demand,"Unknown, static",-0.31,,,,,,,,,,1954-1976," , Region: European Community; Comments from Dahl: Elast average of 1070 and 1985",
Intensity elasticity to GDPPC,Hashimoto (1981) - from demand,"Unknown, static",-0.35,,,,,,,,,,1954-1976," , Region: Japan; Comments from Dahl: Elast average of 1070 and 1985",
Intensity elasticity to GDPPC,Hashimoto (1981) - from demand,"Unknown, static",-0.165,,,,,,,,,,1954-1976," , Region: U.S.; Comments from Dahl: Elast average of 1070 and 1985",
Intensity elasticity to price,Hashimoto (1981) - from demand,"Unknown, static",-1,,,,,,,,,,1954-1976," , Region: Japan; Comments from Dahl: Elast average of 1070 and 1985",
Intensity elasticity to price,Hashimoto (1981) - from demand,"Unknown, static",-0.93,,,,,,,,,,1954-1976," , Region: U.S.; Comments from Dahl: Elast average of 1070 and 1985",
Intensity elasticity to price,"Hashimoto (1981), a - from demand",Ordinary least squares,-0.93,,,,,,,,,9,1954-1976,US,
Intensity elasticity to price,"Hashimoto (1981), b - from demand",Ordinary least squares,-1,,,,,,,,,9,1954-1976,Japan,
Intensity elasticity to price,"Hashimoto (1981), c - from demand",Ordinary least squares,-0.325,,,,,,,,,9,1954-1976,Europe,
Collection elasticity to refined price,Hewitt et al. (2015),Ordinary least squares,,,,0.6,,,,,,29,1980-1012,"Boston Consulting Group and World Gold Council, actual regressors included are unknown and degrees of freedom estimated from other values listed as influencing the price. Regression method not given, assumed ordinary least squares.",
Mine CU elasticity to TCM,Hojman (1981),Ordinary least squares,,0.05,,,,,,,,8,1965-1977,,
Intensity elasticity to price,Hojman (1981) - from demand,Ordinary least squares,,,,,,,,,,8,1965-1977,"Examined France, West Germany, Italy, Japan, Spain, Sweden, UK, USA, Rest of OECD, and OECD total, all as separate regressions.",
Intensity elasticity to price,Hojman (1981) - from demand,"Unknown, long run",,-0.59,,,,,,,,,1965-1977," , Region: Japan ; Comments from Dahl: nan",
Intensity elasticity to price,Hojman (1981) - from demand,"Unknown, long run",,-0.45,,,,,,,,,1965-1977," , Region: Oecd total; Comments from Dahl: nan",
Intensity elasticity to price,Hojman (1981) - from demand,"Unknown, long run",,-1.02,,,,,,,,,1965-1977," , Region: RestOECD; Comments from Dahl: nan",
Intensity elasticity to price,Hojman (1981) - from demand,"Unknown, long run",,-0.39,,,,,,,,,1965-1977," , Region: Spain; Comments from Dahl: nan",
Intensity elasticity to price,Hojman (1981) - from demand,"Unknown, short run",,-0.61,,,,,,,,,1965-1977," , Region: Japan ; Comments from Dahl: nan",
Intensity elasticity to price,Hojman (1981) - from demand,"Unknown, short run",,-0.42,,,,,,,,,1965-1977," , Region: Oecd total; Comments from Dahl: nan",
Intensity elasticity to price,Hojman (1981) - from demand,"Unknown, short run",,-1.33,,,,,,,,,1965-1977," , Region: RestOECD; Comments from Dahl: nan",
Intensity elasticity to price,Hojman (1981) - from demand,"Unknown, short run",,-0.4,,,,,,,,,1965-1977," , Region: Spain; Comments from Dahl: nan",
Mine CU elasticity to TCM,Hojman (1981),"Unknown, long run",,0.71,,,,,,,,,1965-1977," , Region: Fringe; Comments from Dahl: nan",
Mine CU elasticity to TCM,Hojman (1981),"Unknown, long run",,0.073,,,,,,,,,1965-1977," , Region: Non-Communist Wordl; Comments from Dahl: nan",
Mine CU elasticity to TCM,Hojman (1981),"Unknown, short run",,1.19,,,,,,,,,1965-1977," , Region: Australia; Comments from Dahl: nan",
Mine CU elasticity to TCM,Hojman (1981),"Unknown, short run",,0.2,,,,,,,,,1965-1977," , Region: Fringe; Comments from Dahl: nan",
Mine CU elasticity to TCM,Hojman (1981),"Unknown, short run",,0.05,,,,,,,,,1965-1977," , Region: Non-Communist Wordl; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), a - from demand","Unknown, static",,0.72,,,,,,,,,1965-1977," , Region: France; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), a - from demand","Unknown, static",,1.76,,,,,,,,,1965-1977," , Region: Italy; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), a - from demand","Unknown, static",,0.33,,,,,,,,,1965-1977," , Region: Japan ; Comments from Dahl: nan",
Intensity elasticity to GDPPC,"Hojman (1981), a - from demand","Unknown, static",,0.36,,,,,,,,,1965-1977," , Region: Oecd total; Comments from Dahl: nan",
